"","Region","nombre_region","provincia","Nombre_provincia","Comuna","nombre_comuna","a2002","a2003","a2004","a2005","a2006","a2007","a2008","a2009","a2010","a2011","a2012","a2013","a2014","a2015","a2016","a2017","a2018","a2019","a2020"
"181",12,"XII  Magallanes y la Antártica",124,"Última Esperanza",12401,"Natales",19509,19615,19731,19862,20019,20186,20362,20546,20738,20903,21072,21229,21392,21556,21714,21855,21998,22138,22266
"182",6,"VI  O'Higgins",62,"Cardenal Caro",6205,"Navidad",5625,5657,5682,5716,5743,5763,5796,5817,5848,5876,5898,5917,5941,5958,5980,5994,6006,6013,6013
"183",8,"VIII  Biobío",83,"Biobío",8307,"Negrete",8896,9001,9109,9208,9307,9419,9522,9629,9738,9836,9950,10052,10148,10252,10348,10450,10544,10625,10717
"184",8,"VIII  Biobío",84,"Ñuble",8408,"Ninhue",5948,5947,5947,5932,5926,5920,5908,5902,5901,5885,5878,5857,5847,5827,5817,5801,5781,5755,5732
"185",5,"V  Valparaíso",55,"Quillota",5506,"Nogales",22421,22555,22676,22794,22895,22992,23105,23214,23321,23415,23524,23618,23708,23783,23859,23925,23984,24033,24079
"186",9,"IX   Araucanía",91,"Cautín",9111,"Nueva Imperial",31095,31323,31533,31733,31912,32082,32280,32450,32615,32785,32950,33099,33247,33386,33528,33653,33768,33876,33976
"187",8,"VIII  Biobío",84,"Ñuble",8409,"Ñiquén",11841,11839,11837,11823,11819,11808,11797,11786,11771,11762,11748,11717,11689,11665,11653,11609,11579,11536,11501
"188",13,"Región Metropolitana",131,"Santiago",13120,"Ñuñoa",169490,173036,176532,180072,183692,187447,191372,195455,199541,203687,207915,212163,216452,220779,225109,229434,233739,238014,242287
"189",11,"XI Aysén",113,"Capitán Prat",11302,"O´Higgins",465,480,492,510,531,543,557,576,592,613,627,644,657,672,689,706,722,739,762
"190",6,"VI  O'Higgins",61,"Cachapoal",6111,"Olivar",12792,12953,13109,13261,13428,13568,13735,13909,14083,14266,14441,14623,14823,15025,15248,15489,15725,15994,16281
"191",2,"II  Antofagasta",22,"El Loa",2202,"Ollagüe",324,322,322,325,328,326,318,314,311,314,316,313,315,313,311,310,306,309,305
"192",5,"V  Valparaíso",58,"Marga Marga",5803,"Olmué",14623,14748,14855,14956,15072,15170,15277,15383,15490,15596,15700,15794,15897,15987,16075,16162,16241,16305,16374
"193",10,"X  Los Lagos",103,"Osorno",10301,"Osorno",150781,151913,152831,153582,154165,154641,155154,155726,156253,156668,156968,157173,157389,157630,157855,158027,158162,158234,158259
"194",4,"IV  Coquimbo",43,"Limarí",4301,"Ovalle",101668,102949,104207,105513,106871,108267,109761,111317,112880,114457,116017,117533,119014,120469,121868,123239,124556,125832,127072
"195",13,"Región Metropolitana",136,"Talagante",13604,"Padre Hurtado",40210,41248,42295,43359,44467,45597,46792,48025,49282,50554,51863,53188,54541,55909,57287,58675,60088,61494,62906
"196",9,"IX   Araucanía",91,"Cautín",9112,"Padre Las Casas",60941,62766,64596,66433,68299,70197,72152,74153,76182,78253,80358,82504,84684,86913,89163,91442,93760,96098,98459
"197",4,"IV  Coquimbo",41,"Elqui",4105,"Paiguano",4320,4329,4350,4348,4363,4379,4391,4412,4425,4443,4465,4476,4483,4492,4492,4506,4507,4509,4503
"198",14,"XIV  Los Ríos",141,"Valdivia",14107,"Paillaco",19946,19973,20024,20071,20130,20216,20310,20400,20490,20574,20658,20729,20798,20883,20956,21029,21094,21154,21217
"199",13,"Región Metropolitana",134,"Maipo",13404,"Paine",51894,52932,53953,54991,56046,57143,58292,59477,60675,61880,63114,64346,65603,66855,68101,69351,70591,71829,73044
"200",10,"X  Los Lagos",104,"Palena",10404,"Palena",1752,1770,1791,1802,1813,1814,2108,2129,2134,2113,2127,2127,2131,2126,2125,2124,2119,2119,2109
"201",6,"VI  O'Higgins",63,"Colchagua",6306,"Palmilla",11618,11762,11897,12035,12150,12282,12421,12547,12682,12804,12931,13042,13158,13260,13379,13468,13559,13644,13713
"202",14,"XIV  Los Ríos",141,"Valdivia",14108,"Panguipulli",34491,34595,34691,34813,34956,35130,35307,35498,35678,35837,35993,36129,36261,36408,36527,36650,36753,36853,36923
"203",5,"V  Valparaíso",57,"San Felipe de Aconcagua",5704,"Panquehue",6804,6856,6911,6950,6991,7039,7073,7114,7154,7201,7226,7277,7301,7333,7361,7387,7410,7427,7438
"204",5,"V  Valparaíso",54,"Petorca",5403,"Papudo",4778,4826,4861,4896,4936,4974,5012,5057,5090,5129,5159,5201,5242,5263,5310,5340,5369,5394,5417
"205",6,"VI  O'Higgins",62,"Cardenal Caro",6206,"Paredones",6950,6918,6889,6854,6818,6780,6748,6706,6670,6633,6583,6536,6491,6439,6389,6331,6276,6212,6148
"206",7,"VII  Maule",74,"Linares",7404,"Parral",39205,39243,39251,39260,39248,39221,39200,39181,39146,39079,39009,38909,38809,38686,38552,38403,38227,38048,37839
"207",13,"Región Metropolitana",131,"Santiago",13121,"Pedro Aguirre Cerda",118793,119100,119336,119541,119764,120015,120329,120686,121004,121313,121602,121859,122093,122304,122462,122579,122636,122641,122600
"208",7,"VII  Maule",71,"Talca",7106,"Pelarco",7537,7581,7619,7648,7696,7729,7760,7795,7828,7854,7882,7904,7910,7936,7944,7955,7959,7950,7958
"209",7,"VII  Maule",72,"Cauquenes",7203,"Pelluhue",6653,6730,6813,6892,6964,7056,7120,7199,7278,7356,7421,7495,7553,7623,7678,7745,7800,7850,7896
"210",8,"VIII  Biobío",84,"Ñuble",8410,"Pemuco",9151,9168,9183,9208,9210,9225,9249,9257,9274,9284,9293,9294,9298,9294,9297,9301,9297,9283,9276
"211",7,"VII  Maule",71,"Talca",7107,"Pencahue",8622,8654,8687,8710,8736,8751,8775,8796,8806,8827,8838,8833,8845,8845,8840,8834,8812,8796,8785
"212",8,"VIII  Biobío",81,"Concepción",8107,"Penco",47710,48051,48366,48669,48970,49287,49602,49928,50237,50538,50822,51080,51346,51611,51853,52098,52315,52504,52695
"213",13,"Región Metropolitana",136,"Talagante",13605,"Peñaflor",69088,70519,71941,73380,74852,76375,77965,79616,81278,82956,84668,86401,88139,89892,91635,93397,95138,96876,98603
"214",13,"Región Metropolitana",131,"Santiago",13122,"Peñalolen",224054,225668,227110,228508,229905,231357,232911,234526,236043,237509,238951,240304,241576,242766,243847,244800,245621,246310,246871
"215",6,"VI  O'Higgins",63,"Colchagua",6307,"Peralillo",10087,10215,10333,10458,10575,10686,10802,10919,11037,11150,11248,11355,11460,11562,11658,11742,11828,11904,11967
"216",9,"IX   Araucanía",91,"Cautín",9113,"Perquenco",6687,6739,6794,6840,6885,6927,6979,7023,7065,7098,7145,7191,7220,7267,7300,7328,7366,7393,7421
"217",5,"V  Valparaíso",54,"Petorca",5404,"Petorca",9785,9839,9885,9928,9969,10010,10059,10098,10146,10186,10230,10261,10294,10323,10351,10384,10405,10415,10432
"218",6,"VI  O'Higgins",61,"Cachapoal",6112,"Peumo",14477,14621,14757,14892,15014,15133,15277,15406,15540,15659,15771,15883,15981,16089,16181,16273,16345,16403,16464
"219",1,"I  Tarapacá",14,"Tamarugal",1405,"Pica",6427,6423,6425,6437,6440,6467,6479,6505,6536,6558,6582,6605,6626,6639,6653,6650,6652,6648,6645
"220",6,"VI  O'Higgins",61,"Cachapoal",6113,"Pichidegua",18410,18588,18748,18895,19038,19184,19329,19478,19618,19764,19882,20001,20111,20216,20317,20400,20481,20537,20583
"221",6,"VI  O'Higgins",62,"Cardenal Caro",6201,"Pichilemu",12860,13019,13145,13273,13392,13508,13633,13764,13885,14003,14111,14219,14311,14408,14502,14587,14665,14730,14787
"222",8,"VIII  Biobío",84,"Ñuble",8411,"Pinto",10244,10354,10447,10554,10626,10706,10800,10874,10959,11038,11110,11184,11242,11307,11363,11437,11492,11546,11588
"223",13,"Región Metropolitana",132,"Cordillera",13202,"Pirque",17178,17521,17852,18187,18521,18878,19246,19627,20019,20409,20808,21202,21595,21998,22403,22805,23194,23595,23979
"224",9,"IX   Araucanía",91,"Cautín",9114,"Pitrufquén",22788,22976,23144,23300,23450,23595,23746,23884,24035,24169,24299,24431,24552,24672,24794,24898,25009,25100,25184
"225",6,"VI  O'Higgins",63,"Colchagua",6308,"Placilla",8382,8472,8553,8628,8707,8773,8846,8925,8991,9055,9124,9171,9213,9254,9293,9312,9333,9333,9322
"226",8,"VIII  Biobío",84,"Ñuble",8412,"Portezuelo",5672,5678,5677,5670,5669,5680,5672,5675,5679,5670,5662,5653,5648,5635,5627,5622,5603,5587,5575
"227",12,"XII  Magallanes y la Antártica",123,"Tierra del Fuego",12301,"Porvenir",5571,5683,5797,5928,6064,6211,6353,6508,6657,6813,6978,7132,7296,7446,7615,7781,7941,8109,8270
"228",1,"I  Tarapacá",14,"Tamarugal",1401,"Pozo Almonte",11243,11410,11580,11770,11947,12139,12354,12570,12799,13030,13259,13496,13723,13940,14156,14361,14562,14752,14936
"229",12,"XII  Magallanes y la Antártica",123,"Tierra del Fuego",12302,"Primavera",1029,1003,974,933,896,844,789,732,691,642,603,572,553,1259,1269,1277,1286,1292,1302
"230",13,"Región Metropolitana",131,"Santiago",13123,"Providencia",125279,127089,128773,130409,132048,133721,135451,137236,138984,140718,142462,144169,145869,147533,149165,150742,152268,153748,155166
"231",5,"V  Valparaíso",51,"Valparaíso",5105,"Puchuncaví",13434,13741,14049,14360,14676,14992,15319,15655,15996,16342,16688,17046,17403,17762,18115,18484,18842,19213,19572
"232",9,"IX   Araucanía",91,"Cautín",9115,"Pucón",21881,22322,22761,23188,23616,24055,24490,24941,25393,25843,26297,26757,27221,27680,28146,28609,29072,29536,29991
"233",13,"Región Metropolitana",131,"Santiago",13124,"Pudahuel",202900,204934,206965,209052,211200,213469,215887,218403,220898,223378,225888,228366,230833,233252,235629,237938,240165,242328,244395
"234",13,"Región Metropolitana",132,"Cordillera",13201,"Puente Alto",511161,518350,525281,532215,539280,546609,554341,562333,570264,578226,586267,594244,602203,610118,617914,625553,633021,640317,647428
"235",10,"X  Los Lagos",101,"Llanquihue",10101,"Puerto Montt",182379,187468,192400,197234,201996,206801,213038,217680,222276,226543,230882,235166,239534,243825,248230,252542,256828,261117,265292
"236",10,"X  Los Lagos",103,"Osorno",10302,"Puerto Octay",10611,10585,10539,10479,10410,10324,10241,10164,10081,9988,9885,9784,9680,9574,9465,9360,9257,9146,9026
"237",10,"X  Los Lagos",101,"Llanquihue",10109,"Puerto Varas",34118,34776,35373,35935,36461,36965,37476,37994,38508,38985,39444,39875,40315,40756,41182,41617,42027,42423,42812
"238",6,"VI  O'Higgins",63,"Colchagua",6309,"Pumanque",3570,3566,3552,3543,3526,3519,3515,3502,3498,3497,3481,3480,3471,3470,3469,3452,3451,3442,3431
"239",4,"IV  Coquimbo",43,"Limarí",4304,"Punitaqui",9888,9959,10014,10075,10146,10205,10286,10363,10447,10528,10599,10674,10748,10805,10868,10923,10965,11016,11058
"240",12,"XII  Magallanes y la Antártica",121,"Magallanes",12101,"Punta Arenas",122041,122398,122776,123238,123828,124520,125302,126092,126849,127608,128245,128922,129555,128326,128810,129263,129702,130069,130422
"241",10,"X  Los Lagos",102,"Chiloé",10206,"Puqueldón",4310,4313,4300,4280,4276,4246,4220,4205,4170,4157,4124,4081,4053,4021,3986,3950,3912,3882,3837
"242",9,"IX   Araucanía",92,"Malleco",9208,"Purén",13334,13335,13325,13305,13285,13250,13228,13202,13168,13135,13094,13054,13020,12973,12926,12885,12822,12769,12710
"243",10,"X  Los Lagos",103,"Osorno",10303,"Purranque",21460,21571,21644,21684,21702,21702,21694,21698,21692,21659,21610,21550,21478,21417,21354,21282,21197,21098,21001
"244",5,"V  Valparaíso",57,"San Felipe de Aconcagua",5705,"Putaendo",15184,15299,15397,15494,15592,15677,15771,15866,15962,16057,16139,16225,16306,16391,16469,16533,16592,16648,16702
"245",15,"XV  Arica y Parinacota",152,"Parinacota",15201,"Putre",2035,2023,2016,2014,2018,2016,2023,2033,2042,2051,2057,2066,2073,2077,2084,2090,2090,2094,2095
"246",10,"X  Los Lagos",103,"Osorno",10304,"Puyehue",11793,11757,11719,11660,11599,11532,11472,11430,11371,11312,11244,11176,11109,11052,10988,10928,10864,10798,10734
"247",10,"X  Los Lagos",102,"Chiloé",10207,"Queilén",5323,5372,5414,5438,5462,5477,5496,5516,5525,5542,5548,5549,5551,5560,5549,5558,5548,5534,5531
"248",10,"X  Los Lagos",102,"Chiloé",10208,"Quellón",22627,23263,23874,24468,25048,25616,26473,27074,27680,28247,28817,29375,29951,30532,31122,31703,32294,32867,33445
"249",10,"X  Los Lagos",102,"Chiloé",10209,"Quemchi",9007,9060,9096,9130,9143,9144,9153,9161,9168,9162,9144,9133,9109,9091,9074,9048,9012,8979,8947
"250",8,"VIII  Biobío",83,"Biobío",8308,"Quilaco",4173,4166,4164,4163,4157,4155,4156,4146,4140,4130,4130,4120,4118,4103,4097,4080,4069,4053,4040
"251",13,"Región Metropolitana",131,"Santiago",13125,"Quilicura",131208,136077,141020,146120,151410,156949,162764,168858,175094,181544,188223,195079,202151,209417,216857,224468,232263,240200,248306
"252",8,"VIII  Biobío",83,"Biobío",8309,"Quilleco",10813,10763,10703,10653,10591,10534,10476,10417,10358,10299,10236,10163,10097,10033,9964,9889,9814,9737,9654
